SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"2539-Lake Tabourie","2539","Lake Tabourie","Sydney","New South Wales","NSW",-35.44375,150.398471,"-35.44375,150.398471"
"2539-Manyana","2539","Manyana","Sydney","New South Wales","NSW",-35.258413,150.513956,"-35.258413,150.513956"
"2539-Mollymook","2539","Mollymook","Sydney","New South Wales","NSW",-35.339324,150.474228,"-35.339324,150.474228"
"2539-Mollymook Beach","2539","Mollymook Beach","Sydney","New South Wales","NSW",-35.329662,150.471836,"-35.329662,150.471836"
"2539-Narrawallee","2539","Narrawallee","Sydney","New South Wales","NSW",-35.308851,150.471766,"-35.308851,150.471766"
"2539-Pointer Mountain","2539","Pointer Mountain","Sydney","New South Wales","NSW",-35.262656,150.371989,"-35.262656,150.371989"
"2539-Pretty Beach","2539","Pretty Beach","Sydney","New South Wales","NSW",-35.564463,150.379514,"-35.564463,150.379514"
"2539-Termeil","2539","Termeil","Sydney","New South Wales","NSW",-35.487171,150.339308,"-35.487171,150.339308"
"2539-Ulladulla","2539","Ulladulla","Sydney","New South Wales","NSW",-35.357094,150.474301,"-35.357094,150.474301"
"2539-Yadboro","2539","Yadboro","Sydney","New South Wales","NSW",-35.375922,150.239976,"-35.375922,150.239976"
"2541-Bangalee","2541","Bangalee","Sydney","New South Wales","NSW",-34.843976,150.570381,"-34.843976,150.570381"
"2541-Bomaderry","2541","Bomaderry","Sydney","New South Wales","NSW",-34.855412,150.608383,"-34.855412,150.608383"
"2541-North Nowra","2541","North Nowra","Sydney","New South Wales","NSW",-34.860731,150.591467,"-34.860731,150.591467"
"2541-Nowra","2541","Nowra","Sydney","New South Wales","NSW",-34.872698,150.60342,"-34.872698,150.60342"
"2541-Nowra East","2541","Nowra East","Sydney","New South Wales","NSW",-34.888371,150.610072,"-34.888371,150.610072"
"2541-Nowra North","2541","Nowra North","Sydney","New South Wales","NSW",-34.860731,150.591467,"-34.860731,150.591467"
"2541-South Nowra","2541","South Nowra","Sydney","New South Wales","NSW",-34.898363,150.60221,"-34.898363,150.60221"
"2541-West Nowra","2541","West Nowra","Sydney","New South Wales","NSW",-34.892253,150.58593,"-34.892253,150.58593"
"2545-Belowra","2545","Belowra","Sydney","New South Wales","NSW",-36.148482,149.705058,"-36.148482,149.705058"
"2545-Bodalla","2545","Bodalla","Sydney","New South Wales","NSW",-36.090909,150.051741,"-36.090909,150.051741"
"2545-Cadgee","2545","Cadgee","Sydney","New South Wales","NSW",-36.146273,149.92127,"-36.146273,149.92127"
