SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"3085-Macleod West","3085","Macleod West","Melbourne","Victoria","VIC",-37.736354,145.038518,"-37.736354,145.038518"
"3085-Yallambie","3085","Yallambie","Melbourne","Victoria","VIC",-37.727482,145.102309,"-37.727482,145.102309"
"3086-La Trobe University","3086","La Trobe University","Melbourne","Victoria","VIC",-37.721328,145.047012,"-37.721328,145.047012"
"3087-Watsonia","3087","Watsonia","Melbourne","Victoria","VIC",-37.712531,145.082098,"-37.712531,145.082098"
"3087-Watsonia North","3087","Watsonia North","Melbourne","Victoria","VIC",-37.698352,145.084586,"-37.698352,145.084586"
"3088-Briar Hill","3088","Briar Hill","Melbourne","Victoria","VIC",-37.709483,145.120135,"-37.709483,145.120135"
"3088-Greensborough","3088","Greensborough","Melbourne","Victoria","VIC",-37.704622,145.103024,"-37.704622,145.103024"
"3088-Saint Helena","3088","Saint Helena","Melbourne","Victoria","VIC",-37.690585,145.130847,"-37.690585,145.130847"
"3089-Diamond Creek","3089","Diamond Creek","Melbourne","Victoria","VIC",-37.642629,145.217595,"-37.642629,145.217595"
"3090-Plenty","3090","Plenty","Melbourne","Victoria","VIC",-37.671565,145.124024,"-37.671565,145.124024"
"3091-Yarrambat","3091","Yarrambat","Melbourne","Victoria","VIC",-37.639769,145.132663,"-37.639769,145.132663"
"3093-Lower Plenty","3093","Lower Plenty","Melbourne","Victoria","VIC",-37.730758,145.088118,"-37.730758,145.088118"
"3094-Montmorency","3094","Montmorency","Melbourne","Victoria","VIC",-37.715294,145.121583,"-37.715294,145.121583"
"3095-Eltham","3095","Eltham","Melbourne","Victoria","VIC",-37.71383,145.148537,"-37.71383,145.148537"
"3095-Eltham North","3095","Eltham North","Melbourne","Victoria","VIC",-37.69401,145.147506,"-37.69401,145.147506"
"3095-Research","3095","Research","Melbourne","Victoria","VIC",-37.703602,145.180636,"-37.703602,145.180636"
"3096-Wattle Glen","3096","Wattle Glen","Melbourne","Victoria","VIC",-37.670101,145.190928,"-37.670101,145.190928"
"3097-Bend Of Islands","3097","Bend Of Islands","Melbourne","Victoria","VIC",-37.697232,145.284134,"-37.697232,145.284134"
"3097-Kangaroo Ground","3097","Kangaroo Ground","Melbourne","Victoria","VIC",-37.692032,145.215528,"-37.692032,145.215528"
"3097-Watsons Creek","3097","Watsons Creek","Melbourne","Victoria","VIC",-37.67058,145.256526,"-37.67058,145.256526"
"3099-Arthurs Creek","3099","Arthurs Creek","Melbourne","Victoria","VIC",-37.587697,145.218156,"-37.587697,145.218156"
"3099-Cottles Bridge","3099","Cottles Bridge","Melbourne","Victoria","VIC",-37.625074,145.216671,"-37.625074,145.216671"
"3099-Hurstbridge","3099","Hurstbridge","Melbourne","Victoria","VIC",-37.640166,145.192477,"-37.640166,145.192477"
"3099-Nutfield","3099","Nutfield","Melbourne","Victoria","VIC",-37.610518,145.173559,"-37.610518,145.173559"
"3099-Strathewen","3099","Strathewen","Melbourne","Victoria","VIC",-37.53633,145.273454,"-37.53633,145.273454"
"3101-Cotham","3101","Cotham","Melbourne","Victoria","VIC",-37.808497,145.044922,"-37.808497,145.044922"
"3101-Kew","3101","Kew","Melbourne","Victoria","VIC",-37.797982,145.053727,"-37.797982,145.053727"
"3102-Kew East","3102","Kew East","Melbourne","Victoria","VIC",-37.796246,145.049017,"-37.796246,145.049017"
"3103-Balwyn","3103","Balwyn","Melbourne","Victoria","VIC",-37.809701,145.082303,"-37.809701,145.082303"
"3103-Balwyn East","3103","Balwyn East","Melbourne","Victoria","VIC",-37.807312,145.096698,"-37.807312,145.096698"
"3104-Balwyn North","3104","Balwyn North","Melbourne","Victoria","VIC",-37.792835,145.071727,"-37.792835,145.071727"
"3104-Greythorn","3104","Greythorn","Melbourne","Victoria","VIC",-37.796947,145.098434,"-37.796947,145.098434"
"3105-Bulleen","3105","Bulleen","Melbourne","Victoria","VIC",-37.768554,145.079543,"-37.768554,145.079543"
"3106-Templestowe","3106","Templestowe","Melbourne","Victoria","VIC",-37.768882,145.117873,"-37.768882,145.117873"
