DateValue,Year,Month,Week of Year,Day,Start of Year,End of Year,Month Name,Day of Year
2017-06-26 00:00:00.000,2017,6,27,26,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",177
2017-06-27 00:00:00.000,2017,6,27,27,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",178
2017-06-28 00:00:00.000,2017,6,27,28,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",179
2017-06-29 00:00:00.000,2017,6,27,29,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",180
2017-06-30 00:00:00.000,2017,6,27,30,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"June",181
2017-07-01 00:00:00.000,2017,7,27,1,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",182
2017-07-02 00:00:00.000,2017,7,27,2,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",183
2017-07-03 00:00:00.000,2017,7,28,3,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",184
2017-07-04 00:00:00.000,2017,7,28,4,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",185
2017-07-05 00:00:00.000,2017,7,28,5,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",186
2017-07-06 00:00:00.000,2017,7,28,6,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",187
2017-07-07 00:00:00.000,2017,7,28,7,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",188
2017-07-08 00:00:00.000,2017,7,28,8,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",189
2017-07-09 00:00:00.000,2017,7,28,9,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",190
2017-07-10 00:00:00.000,2017,7,29,10,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",191
2017-07-11 00:00:00.000,2017,7,29,11,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",192
2017-07-12 00:00:00.000,2017,7,29,12,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",193
2017-07-13 00:00:00.000,2017,7,29,13,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",194
2017-07-14 00:00:00.000,2017,7,29,14,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",195
2017-07-15 00:00:00.000,2017,7,29,15,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",196
2017-07-16 00:00:00.000,2017,7,29,16,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",197
2017-07-17 00:00:00.000,2017,7,30,17,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",198
2017-07-18 00:00:00.000,2017,7,30,18,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",199
2017-07-19 00:00:00.000,2017,7,30,19,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",200
2017-07-20 00:00:00.000,2017,7,30,20,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",201
2017-07-21 00:00:00.000,2017,7,30,21,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",202
2017-07-22 00:00:00.000,2017,7,30,22,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",203
2017-07-23 00:00:00.000,2017,7,30,23,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",204
2017-07-24 00:00:00.000,2017,7,31,24,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",205
2017-07-25 00:00:00.000,2017,7,31,25,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",206
2017-07-26 00:00:00.000,2017,7,31,26,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",207
2017-07-27 00:00:00.000,2017,7,31,27,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",208
2017-07-28 00:00:00.000,2017,7,31,28,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",209
2017-07-29 00:00:00.000,2017,7,31,29,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",210
2017-07-30 00:00:00.000,2017,7,31,30,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",211
2017-07-31 00:00:00.000,2017,7,32,31,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"July",212
2017-08-01 00:00:00.000,2017,8,32,1,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",213
2017-08-02 00:00:00.000,2017,8,32,2,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",214
2017-08-03 00:00:00.000,2017,8,32,3,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",215
2017-08-04 00:00:00.000,2017,8,32,4,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",216
2017-08-05 00:00:00.000,2017,8,32,5,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",217
2017-08-06 00:00:00.000,2017,8,32,6,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",218
2017-08-07 00:00:00.000,2017,8,33,7,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",219
2017-08-08 00:00:00.000,2017,8,33,8,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",220
2017-08-09 00:00:00.000,2017,8,33,9,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",221
2017-08-10 00:00:00.000,2017,8,33,10,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",222
2017-08-11 00:00:00.000,2017,8,33,11,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",223
2017-08-12 00:00:00.000,2017,8,33,12,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",224
2017-08-13 00:00:00.000,2017,8,33,13,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",225
2017-08-14 00:00:00.000,2017,8,34,14,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",226
2017-08-15 00:00:00.000,2017,8,34,15,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",227
2017-08-16 00:00:00.000,2017,8,34,16,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",228
2017-08-17 00:00:00.000,2017,8,34,17,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",229
2017-08-18 00:00:00.000,2017,8,34,18,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",230
2017-08-19 00:00:00.000,2017,8,34,19,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",231
2017-08-20 00:00:00.000,2017,8,34,20,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",232
2017-08-21 00:00:00.000,2017,8,35,21,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",233
2017-08-22 00:00:00.000,2017,8,35,22,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"August",234
